rank,student_id,score,s_score,proportion,grade
411 = 427,312502370,62,668,95.39,B
411 = 427,312801445,62,668,95.39,B
411 = 427,312800264,62,668,95.39,B
411 = 427,312801816,62,668,95.39,B
411 = 427,312800941,62,668,95.39,B
411 = 427,312401417,62,668,95.39,B
411 = 427,312402215,62,668,95.39,B
411 = 427,312401768,62,668,95.39,B
411 = 427,312401171,62,668,95.39,B
411 = 427,313000262,62,668,95.39,B
411 = 427,313000170,62,668,95.39,B
411 = 427,313100965,62,668,95.39,B
428 = 459,313103465,61,666,95.14,B
428 = 459,313000447,61,666,95.14,B
428 = 459,313001105,61,666,95.14,B
428 = 459,313000074,61,666,95.14,B
428 = 459,313000906,61,666,95.14,B
428 = 459,312700989,61,666,95.14,B
428 = 459,312900309,61,666,95.14,B
428 = 459,312900188,61,666,95.14,B
428 = 459,312401174,61,666,95.14,B
428 = 459,312400954,61,666,95.14,B
428 = 459,312400358,61,666,95.14,B
428 = 459,312401579,61,666,95.14,B
428 = 459,312401651,61,666,95.14,B
428 = 459,312401446,61,666,95.14,B
428 = 459,312800861,61,666,95.14,B
428 = 459,312802363,61,666,95.14,B
428 = 459,312801865,61,666,95.14,B
428 = 459,312800695,61,666,95.14,B
428 = 459,312800464,61,666,95.14,B
428 = 459,312800076,61,666,95.14,B
428 = 459,312502405,61,666,95.14,B
428 = 459,312500518,61,666,95.14,B
428 = 459,312501078,61,666,95.14,B
428 = 459,312501039,61,666,95.14,B
428 = 459,312501082,61,666,95.14,B
428 = 459,312503117,61,666,95.14,B
428 = 459,312503027,61,666,95.14,B
428 = 459,312502699,61,666,95.14,B
428 = 459,312503743,61,666,95.14,B
428 = 459,312501632,61,666,95.14,B
428 = 459,312500497,61,666,95.14,B
428 = 459,312500022,61,666,95.14,B
460 = 485,312500499,60,663,94.83,B
460 = 485,312500338,60,663,94.83,B
460 = 485,312502211,60,663,94.83,B
460 = 485,312500102,60,663,94.83,B
460 = 485,312503110,60,663,94.83,B
460 = 485,312501087,60,663,94.83,B
460 = 485,312503833,60,663,94.83,B
460 = 485,312503251,60,663,94.83,B
460 = 485,312502464,60,663,94.83,B
460 = 485,312502439,60,663,94.83,B
460 = 485,312800148,60,663,94.83,B
460 = 485,312801981,60,663,94.83,B
460 = 485,312801256,60,663,94.83,B
460 = 485,312802097,60,663,94.83,B
460 = 485,312801925,60,663,94.83,B
460 = 485,312801033,60,663,94.83,B
460 = 485,312401525,60,663,94.83,B
460 = 485,312400341,60,663,94.83,B
460 = 485,312900059,60,663,94.83,B
460 = 485,312901155,60,663,94.83,B
460 = 485,312901152,60,663,94.83,B
460 = 485,312701133,60,663,94.83,B
460 = 485,313001064,60,663,94.83,B
460 = 485,313001087,60,663,94.83,B
460 = 485,312600015,60,663,94.83,B
460 = 485,312600078,60,663,94.83,B
486 = 510,312600263,59,660,94.53,B
486 = 510,313001046,59,660,94.53,B
486 = 510,313001052,59,660,94.53,B
486 = 510,313000925,59,660,94.53,B
