rank,student_id,score,s_score,proportion,grade
481 = 544,312503927,82,684,96.7,B
481 = 544,312501193,82,684,96.7,B
481 = 544,312501264,82,684,96.7,B
481 = 544,312500039,82,684,96.7,B
481 = 544,313100835,82,684,96.7,B
481 = 544,313100957,82,684,96.7,B
481 = 544,313100067,82,684,96.7,B
481 = 544,313104258,82,684,96.7,B
481 = 544,313104761,82,684,96.7,B
481 = 544,313102103,82,684,96.7,B
481 = 544,313102061,82,684,96.7,B
481 = 544,312401012,82,684,96.7,B
481 = 544,312402217,82,684,96.7,B
481 = 544,312401513,82,684,96.7,B
481 = 544,312401490,82,684,96.7,B
481 = 544,312401482,82,684,96.7,B
481 = 544,312401834,82,684,96.7,B
481 = 544,312401869,82,684,96.7,B
481 = 544,312401152,82,684,96.7,B
481 = 544,312400396,82,684,96.7,B
481 = 544,312401401,82,684,96.7,B
481 = 544,312400469,82,684,96.7,B
481 = 544,312901646,82,684,96.7,B
481 = 544,312900501,82,684,96.7,B
481 = 544,313001279,82,684,96.7,B
481 = 544,313000923,82,684,96.7,B
481 = 544,313000390,82,684,96.7,B
481 = 544,312600002,82,684,96.7,B
481 = 544,312800403,82,684,96.7,B
481 = 544,312801037,82,684,96.7,B
481 = 544,312800925,82,684,96.7,B
481 = 544,312800955,82,684,96.7,B
481 = 544,312800830,82,684,96.7,B
481 = 544,312802352,82,684,96.7,B
481 = 544,312801858,82,684,96.7,B
481 = 544,312801811,82,684,96.7,B
481 = 544,312801844,82,684,96.7,B
481 = 544,312801141,82,684,96.7,B
481 = 544,312801222,82,684,96.7,B
481 = 544,312801981,82,684,96.7,B
481 = 544,312801105,82,684,96.7,B
481 = 544,312801525,82,684,96.7,B
481 = 544,312700612,82,684,96.7,B
481 = 544,312700933,82,684,96.7,B
481 = 544,312700257,82,684,96.7,B
481 = 544,312700303,82,684,96.7,B
545 = 617,312701262,81,678,96.24,B
545 = 617,312701114,81,678,96.24,B
545 = 617,312801475,81,678,96.24,B
545 = 617,312801950,81,678,96.24,B
545 = 617,312801194,81,678,96.24,B
545 = 617,312801163,81,678,96.24,B
545 = 617,312800700,81,678,96.24,B
545 = 617,312800701,81,678,96.24,B
545 = 617,312800705,81,678,96.24,B
545 = 617,312802264,81,678,96.24,B
545 = 617,312800809,81,678,96.24,B
545 = 617,312800945,81,678,96.24,B
545 = 617,312800983,81,678,96.24,B
545 = 617,312801008,81,678,96.24,B
545 = 617,312800400,81,678,96.24,B
545 = 617,312600269,81,678,96.24,B
545 = 617,312600240,81,678,96.24,B
545 = 617,313001315,81,678,96.24,B
545 = 617,313000272,81,678,96.24,B
545 = 617,313001165,81,678,96.24,B
545 = 617,312900451,81,678,96.24,B
545 = 617,312901478,81,678,96.24,B
545 = 617,312900881,81,678,96.24,B
545 = 617,312900738,81,678,96.24,B
545 = 617,312900713,81,678,96.24,B
545 = 617,312900657,81,678,96.24,B
545 = 617,312900612,81,678,96.24,B
545 = 617,312900673,81,678,96.24,B
545 = 617,312901342,81,678,96.24,B
545 = 617,312901280,81,678,96.24,B
545 = 617,312900579,81,678,96.24,B
545 = 617,312901121,81,678,96.24,B
545 = 617,312400467,81,678,96.24,B
545 = 617,312400443,81,678,96.24,B
545 = 617,312400464,81,678,96.24,B
545 = 617,312400013,81,678,96.24,B
545 = 617,312400023,81,678,96.24,B
545 = 617,312400163,81,678,96.24,B
545 = 617,312400203,81,678,96.24,B
545 = 617,312400335,81,678,96.24,B
545 = 617,312401705,81,678,96.24,B
545 = 617,312402072,81,678,96.24,B
545 = 617,312400662,81,678,96.24,B
545 = 617,312400677,81,678,96.24,B
545 = 617,312400685,81,678,96.24,B
545 = 617,312402003,81,678,96.24,B
545 = 617,313103222,81,678,96.24,B
545 = 617,313103429,81,678,96.24,B
545 = 617,312500323,81,678,96.24,B
545 = 617,312501061,81,678,96.24,B
545 = 617,312501079,81,678,96.24,B
545 = 617,312501399,81,678,96.24,B
545 = 617,312501324,81,678,96.24,B
545 = 617,312501311,81,678,96.24,B
545 = 617,312503172,81,678,96.24,B
545 = 617,312501719,81,678,96.24,B
545 = 617,312500365,81,678,96.24,B
545 = 617,312502172,81,678,96.24,B
545 = 617,312502186,81,678,96.24,B
545 = 617,312502226,81,678,96.24,B
545 = 617,312502279,81,678,96.24,B
545 = 617,312502241,81,678,96.24,B
545 = 617,312502682,81,678,96.24,B
545 = 617,312502673,81,678,96.24,B
545 = 617,312503680,81,678,96.24,B
545 = 617,312502385,81,678,96.24,B
545 = 617,312500559,81,678,96.24,B
545 = 617,312503572,81,678,96.24,B
545 = 617,312503452,81,678,96.24,B
545 = 617,312503338,81,678,96.24,B
545 = 617,312503397,81,678,96.24,B
545 = 617,312503385,81,678,96.24,B
545 = 617,312503727,81,678,96.24,B
618 = 681,312503741,80,673,95.81,B
618 = 681,312503277,80,673,95.81,B
618 = 681,312503256,80,673,95.81,B
618 = 681,312503402,80,673,95.81,B
618 = 681,312503369,80,673,95.81,B
